fiscal_year,location_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,primary_address_line_1,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,id
"2,020",P.S. 130 The Parkside,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",70 OCEAN PARKWAY,990895,175698,-73.976053,40.648924,307
"2,020",P.S. 131 Brooklyn,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",4305 FT HAMILTON PARKWAY,986124,172711,-73.993247,40.640728,312
"2,020",P.S. 132 The Conselyea School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,SE",320 MANHATTAN AVENUE,999313,199692,-73.945663,40.714772,301
"2,020",P.S. 133 William A. Butler,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",610 BALTIC STREET,989671,186989,-73.980455,40.679916,306
"2,020",P.S. K134,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",4001 18 AVENUE,991694,169585,-73.97318,40.632145,314
"2,020",P.S. 135 Sheldon A. Brookner,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",684 LINDEN BOULEVARD,1002855,177223,-73.932949,40.653093,317
"2,020",I.S. 136 Charles O. Dewey,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",4004 4 AVENUE,982142,176864,-74.007596,40.652127,307
"2,020",P.S./I.S. 137 Rachel Jean Mitchell,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",121 SARATOGA AVENUE,1007370,187849,-73.916641,40.682248,316
"2,020",P.S. 138 Brooklyn,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",760 PROSPECT PLACE,997687,184816,-73.951559,40.673943,308
"2,020",P.S. 138 Brooklyn,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",760 PROSPECT PLACE,997687,184816,-73.951559,40.673943,308
"2,020",P.S. 139 Alexine A. Fenty,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",330 RUGBY ROAD,993724,172936,-73.965862,40.64134,314
"2,020",P.S. K140,Special Education,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,SE",141 MACON STREET,999338,187723,-73.9456,40.68192,303
"2,020",P.S. K141,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,SE","PK,0K,01,02,03,04,05,06,07,08,09,10,11,SE",655 PARKSIDE AVENUE,997686,178433,-73.951575,40.656423,309
"2,020",JHS 142,General Academic,Junior High-Intermediate-Middle,NULL,NULL,610 HENRY STREET,983868,187044,-74.0014,40.6801,306
"2,020",M.S. 143 Performing & Fine Arts,General Academic,Junior High-Intermediate-Middle,NULL,"06,07,08",800 GATES AVENUE,1003098,190066,-73.932,40.6883,303
"2,020",P.S. 145 Andrew Jackson,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",100 NOLL STREET,1002997,194716,-73.932388,40.701107,304
"2,020","The Brooklyn New School, P.S. 146",General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",610 HENRY STREET,983689,186823,-74.002022,40.679462,306
"2,020",P.S. 147 Isaac Remsen,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",325 BUSHWICK AVENUE,1001221,196135,-73.93879,40.705005,301
"2,020",P.S. 149 Danny Kaye,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",700 SUTTER AVENUE,1013999,183161,-73.89276,40.669361,305
"2,020",P.S. 150 Christopher,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05,SE",364 SACKMAN STREET,1010565,182941,-73.90514,40.668768,316
"2,020",P.S. 151 Lyndon B. Johnson,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",763 KNICKERBOCKER AVENUE,1009695,191926,-73.908242,40.693432,304
"2,020",School of Science & Technology,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",725 EAST  23 STREET,996943,169760,-73.954269,40.632619,314
"2,020",School of Science & Technology,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",725 EAST  23 STREET,996943,169760,-73.954269,40.632619,314
